Query Number,Time,SQLStatement
6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

18, 0.001319, SELECT itemID FROM dataminingdb.itemsets WHERE transId=9, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

20, 0.001326, SELECT itemID FROM dataminingdb.itemsets WHERE transId=10, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

22, 0.00130325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=11, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

24, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=12, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

26, 0.00132725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=13, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

28, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=14, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

30, 0.0013515, SELECT itemID FROM dataminingdb.itemsets WHERE transId=15, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

32, 0.00130725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=16, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

34, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=17, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

36, 0.001333, SELECT itemID FROM dataminingdb.itemsets WHERE transId=18, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

38, 0.00130825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=19, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

40, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=20, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

42, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=21, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

44, 0.0014485, SELECT itemID FROM dataminingdb.itemsets WHERE transId=22, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

46, 0.001332, SELECT itemID FROM dataminingdb.itemsets WHERE transId=23, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

48, 0.0013205, SELECT itemID FROM dataminingdb.itemsets WHERE transId=24, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

50, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=25, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

52, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=26, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

54, 0.0013145, SELECT itemID FROM dataminingdb.itemsets WHERE transId=27, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

56, 0.001327, SELECT itemID FROM dataminingdb.itemsets WHERE transId=28, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

58, 0.00140375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=29, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

60, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=30, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

62, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=31, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

64, 0.00130875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=32, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

66, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=33, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

68, 0.00131675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=34, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

82, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=41, 

70, 0.0013095, SELECT itemID FROM dataminingdb.itemsets WHERE transId=35, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

82, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=41, 

84, 0.00132675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=42, 

72, 0.001316, SELECT itemID FROM dataminingdb.itemsets WHERE transId=36, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

82, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=41, 

84, 0.00132675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=42, 

86, 0.0013015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=43, 

74, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=37, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

82, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=41, 

84, 0.00132675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=42, 

86, 0.0013015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=43, 

88, 0.001328, SELECT itemID FROM dataminingdb.itemsets WHERE transId=44, 

76, 0.0013135, SELECT itemID FROM dataminingdb.itemsets WHERE transId=38, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

82, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=41, 

84, 0.00132675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=42, 

86, 0.0013015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=43, 

88, 0.001328, SELECT itemID FROM dataminingdb.itemsets WHERE transId=44, 

90, 0.00130525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=45, 

78, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=39, 

80, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=40, 

82, 0.001309, SELECT itemID FROM dataminingdb.itemsets WHERE transId=41, 

84, 0.00132675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=42, 

