Query Number,Time,SQLStatement
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
20,0.00132375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=10
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
22,0.00133475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=11
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
24,0.001345,SELECT itemID FROM dataminingdb.itemsets WHERE transId=12
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
26,0.00132975,SELECT itemID FROM dataminingdb.itemsets WHERE transId=13
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
28,0.0013005,SELECT itemID FROM dataminingdb.itemsets WHERE transId=14
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
30,0.0013085,SELECT itemID FROM dataminingdb.itemsets WHERE transId=15
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
32,0.001297,SELECT itemID FROM dataminingdb.itemsets WHERE transId=16
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
34,0.001306,SELECT itemID FROM dataminingdb.itemsets WHERE transId=17
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
36,0.00132675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=18
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
38,0.0012995,SELECT itemID FROM dataminingdb.itemsets WHERE transId=19
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
40,0.00131825,SELECT itemID FROM dataminingdb.itemsets WHERE transId=20
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
42,0.00130675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=21
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
44,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=22
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
46,0.00135275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=23
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
48,0.00131925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=24
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
50,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=25
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
52,0.00132925,SELECT itemID FROM dataminingdb.itemsets WHERE transId=26
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
54,0.0013305,SELECT itemID FROM dataminingdb.itemsets WHERE transId=27
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
56,0.00131525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=28
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
58,0.00137225,SELECT itemID FROM dataminingdb.itemsets WHERE transId=29
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
60,0.0013075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=30
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
62,0.001303,SELECT itemID FROM dataminingdb.itemsets WHERE transId=31
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
64,0.001375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=32
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
66,0.001298,SELECT itemID FROM dataminingdb.itemsets WHERE transId=33
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
68,0.00134025,SELECT itemID FROM dataminingdb.itemsets WHERE transId=34
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
70,0.001399,SELECT itemID FROM dataminingdb.itemsets WHERE transId=35
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
72,0.00130425,SELECT itemID FROM dataminingdb.itemsets WHERE transId=36
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
74,0.00132625,SELECT itemID FROM dataminingdb.itemsets WHERE transId=37
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
76,0.00130525,SELECT itemID FROM dataminingdb.itemsets WHERE transId=38
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
78,0.00132125,SELECT itemID FROM dataminingdb.itemsets WHERE transId=39
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
80,0.00130375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=40
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
82,0.00135075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=41
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
84,0.00130325,SELECT itemID FROM dataminingdb.itemsets WHERE transId=42
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
86,0.001308,SELECT itemID FROM dataminingdb.itemsets WHERE transId=43
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
88,0.0013,SELECT itemID FROM dataminingdb.itemsets WHERE transId=44
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
90,0.001316,SELECT itemID FROM dataminingdb.itemsets WHERE transId=45
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
92,0.00129675,SELECT itemID FROM dataminingdb.itemsets WHERE transId=46
94,0.00132075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=47
94,0.00132075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=47
94,0.00132075,SELECT itemID FROM dataminingdb.itemsets WHERE transId=47
